Date;Period;jAuditRate;jTaxRate;jPeriod;jSubject;jSujeto;jGroup;jGrupo;jProfit;jnCorrectRET;jProfitRET;jDeclared;jDeduction;jTotalDeduction;jCheat;jType;jAudited;jFine;jDeductionsGroup;jReceivedFromGroup;jTaxRateProposed;jnCorrectSum;jGroupDG;jProfitDG;jProposerDG;jOfferDG;jage_subject;jgender;jTrust;jIdeology;jIncome;jPublicTransport;jTaxes;jDrivingFast;jMoneyFound;jLying;jAccidentalDamage;jLitter;jDrivingAlcohol;jJobApplication;jBuyingStolen;jProfitRiskAv;jdec1;jdec2;jdec3;jdec4;jdec5;jdec6;jdec7;jdec8;jdec9;jdec10;jHLJump;jSafeChoices;jedec1;jedec2;jedec3;jedec4;jedec5;jeHLJump;jequizWrong
151217_0935;2;0;10;2;9;-1;1;-1;1.480.875;10;1500;1000;100;100;1;-1;0;0;323.5;80.875;-1;10;5;500;1;500;26;0;0;5;13;3;1;2;3;2;1;1;1;2;1;1800;0;1;0;0;0;0;1;1;1;1;2;5;0;1;0;0;0;2;0
151217_0935;2;0;10;2;10;-1;2;-1;169.2;1;150;100;10;10;1;-1;0;0;116.8;29.2;-1;1;5;500;0;500;65;0;0;5;9;1;3;3;1;1;1;1;1;3;1;1500;0;1;0;0;1;0;1;0;0;0;2;7;0;0;1;0;1;3;1
151217_0935;2;0;10;2;11;-1;4;-1;620;4;600;600;60;60;0;-1;0;0;320;80;-1;4;6;400;1;600;23;0;0;6;15;1;1;2;1;1;1;1;1;1;1;1300;0;0;0;0;1;1;1;1;1;1;5;4;0;0;0;0;0;99;1
151217_0935;2;0;10;2;12;-1;5;-1;313.75;2;300;300;30;30;0;-1;0;0;175;43.75;-1;2;6;600;0;500;54;1;0;10;12;1;4;4;1;1;1;1;3;4;1;700;0;0;0;0;0;1;1;0;1;1;6;6;0;0;0;0;0;99;4
151217_0935;2;0;10;2;13;-1;2;-1;7.717.000.000.000.000;5;750;75;7.5;7.5;1;-1;0;0;116.8;29.2;-1;5;9;250;0;500;51;1;1;8;9;3;1;3;3;3;3;1;1;3;1;1400;0;1;0;0;0;1;0;0;0;1;2;7;0;0;0;1;1;4;1
151217_0935;2;0;10;2;14;-1;5;-1;448.75;3;450;450;45;45;0;-1;0;0;175;43.75;-1;3;8;600;1;400;47;0;0;4;88;1;1;1;1;1;1;1;1;1;1;1900;0;1;0;1;0;0;0;1;1;0;2;6;1;0;1;0;1;1;1
151217_0935;2;0;10;2;15;-1;1;-1;620.875;4;600;600;60;60;0;-1;0;0;323.5;80.875;-1;4;7;200;0;200;44;0;0;5;88;1;1;1;1;1;1;1;1;1;1;1300;0;0;1;0;1;0;0;0;1;1;3;6;0;0;1;0;0;3;2
151217_0935;2;0;10;2;16;-1;6;-1;703.75;5;750;750;75;75;0;-1;0;0;115;28.75;-1;5;8;400;0;300;46;1;1;6;13;1;1;1;2;1;1;1;1;1;1;1000;1;0;1;0;0;0;0;0;0;0;1;8;0;0;0;1;1;4;3
151217_0935;2;0;10;2;17;-1;2;-1;9.803.000.000.000.000;7;1050;989;9.890.000.000.000.000;9.890.000.000.000.000;1;-1;0;0;116.8;29.2;-1;7;3;400;0;500;50;1;0;5;16;1;1;1;1;1;1;1;1;1;1;1600;0;0;0;0;0;1;1;1;1;1;6;5;0;0;0;1;1;4;0
151217_0935;2;0;10;2;18;-1;6;-1;478.75;3;450;0;0;0;1;-1;0;0;115;28.75;-1;3;12;500;1;500;34;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1500;1;1;1;0;0;1;1;1;0;0;1;4;0;1;0;1;0;2;2
151217_0935;2;0;10;2;19;-1;4;-1;890;6;900;900;90;90;0;-1;0;0;320;80;-1;6;2;500;0;500;52;1;1;4;15;1;1;1;3;1;1;1;1;3;1;2100;1;1;1;0;1;0;1;1;1;0;1;3;0;1;1;1;1;2;0
151217_0935;2;0;10;2;20;-1;4;-1;1080;7;1050;500;50;50;1;-1;0;0;320;80;-1;7;11;500;0;500;42;1;0;8;88;1;1;3;3;1;1;1;1;1;1;1100;0;0;0;0;0;0;0;0;0;0;99;10;0;0;0;0;0;99;2
151217_0935;2;0;10;2;21;-1;1;-1;217.375;1;150;135;13.5;13.5;1;-1;0;0;323.5;80.875;-1;1;10;500;0;500;52;0;0;4;15;2;1;1;3;1;2;1;1;2;1;2300;0;1;1;1;0;1;0;0;0;0;2;6;1;1;1;1;1;1;1
151217_0935;2;0;10;2;22;-1;3;-1;603.75;4;600;500;50;50;1;-1;0;0;215;53.75;-1;4;10;500;1;500;49;0;0;5;16;3;3;3;3;2;3;1;1;3;1;1300;0;0;0;1;1;1;1;1;1;1;4;3;0;0;0;0;0;99;1
151217_0935;2;0;10;2;23;-1;3;-1;803.75;5;750;0;0;0;1;-1;0;0;215;53.75;-1;5;1;700;1;300;56;0;0;5;13;4;1;1;1;1;1;1;1;1;1;1400;0;1;1;1;0;0;0;1;0;1;2;5;0;0;1;1;1;3;2
151217_0935;2;0;10;2;24;-1;3;-1;863.75;6;900;900;90;90;0;-1;0;0;215;53.75;-1;6;9;750;1;250;36;0;0;4;16;1;1;2;2;1;1;1;1;1;1;1500;0;0;0;0;1;1;1;1;1;1;5;4;0;0;0;0;0;99;0
151217_0935;3;0;10;3;1;-1;6;-1;780;5;750;100;10;10;1;-1;0;0;160;40;-1;5;4;1000;0;500;48;1;0;9;89;1;1;1;3;1;1;1;1;1;1;2000;0;0;0;0;0;0;1;1;1;1;7;6;1;1;0;0;0;1;1
151217_0935;3;0;10;3;2;-1;4;-1;1295;9;1350;1350;135;135;0;-1;0;0;320;80;-1;9;12;500;0;100;38;1;0;2;13;1;1;1;3;1;1;1;1;1;1;900;0;0;0;0;0;0;0;0;0;0;99;10;0;0;0;0;0;99;3
151217_0935;3;0;10;3;3;-1;1;-1;1.315.125;9;1350;1350;135;135;0;-1;0;0;400.5;100.125;-1;9;1;300;0;500;29;1;0;0;16;3;1;1;1;1;1;1;1;3;1;1500;0;0;0;1;1;1;1;1;1;1;4;3;0;0;0;0;0;99;0
151217_0935;3;0;10;3;4;-1;2;-1;7.783.499.999.999.990;5;750;7;0.7000000000000001;0.7000000000000001;1;-1;0;0;116.2;29.05;-1;5;11;500;1;500;43;0;1;5;14;1;1;1;1;1;1;1;1;1;1;2500;1;0;0;1;0;0;0;1;1;1;1;5;1;1;1;1;1;1;0
